title,category,date,longitude,latitude,year,month
"Compartment 50 RX Prescribed Fire, Bibb, Alabama",Wildfires,2026-02-25 08:49:00+00:00,-87.405038,32.911717,2026,2
"RX PCS Key Mountain West Prescribed Fire, Scott, Arkansas",Wildfires,2026-02-25 08:48:00+00:00,-94.105611,34.769488,2026,2
"RX John Turner Prescribed Fire, Franklin, Arkansas",Wildfires,2026-02-25 08:31:00+00:00,-93.862,35.683,2026,2
"RX Crystal Mountain Prescribed Fire, Garland, Arkansas",Wildfires,2026-02-25 08:26:00+00:00,-93.391944,34.536389,2026,2
"Compartment 112 RX Prescribed Fire, Jasper, Georgia",Wildfires,2026-02-25 08:13:00+00:00,-83.73645,33.2019,2026,2
"RX BEAR CREEK Prescribed Fire, McCurtain, Oklahoma",Wildfires,2026-02-25 08:12:00+00:00,-94.7796,34.267463,2026,2
"29B/29C RX Prescribed Fire, Jones, Georgia",Wildfires,2026-02-25 08:08:00+00:00,-83.6737,33.0255,2026,2
"RX Cedar Fork Prescribed Fire, Scott, Arkansas",Wildfires,2026-02-25 08:06:00+00:00,-93.839722,34.7575,2026,2
"RX Avant 4 5 6 Prescribed Fire, Garland, Arkansas",Wildfires,2026-02-25 08:06:00+00:00,-93.346278,34.615,2026,2
"RX Lapile Crk South/Shallow Lake Prescribed Fire, Union, Arkansas",Wildfires,2026-02-25 08:02:00+00:00,-92.1868,33.1189,2026,2
"RX Redbank Units 1 2 3 Prescribed Fire, Montgomery, Arkansas",Wildfires,2026-02-25 07:59:00+00:00,-93.397389,34.708917,2026,2
"Flat Creek Wildfire, Cass, Texas",Wildfires,2026-02-24 21:26:00+00:00,-94.51193333,33.13293333,2026,2
"Upton Road Wildfire, Texas, Missouri",Wildfires,2026-02-24 18:04:00+00:00,-92.1983,37.374833,2026,2
"Nebo Mountain Wildfire, Gillespie, Texas",Wildfires,2026-02-24 18:03:00+00:00,-98.746777,30.440144,2026,2
"Willard Wildfire, Dallam, Texas",Wildfires,2026-02-24 17:34:00+00:00,-102.24182,36.29863,2026,2
"ALABAMA CREEK Wildfire, Okfuskee, Oklahoma",Wildfires,2026-02-24 16:07:00+00:00,-96.207222,35.375278,2026,2
"Cypress Creek Wildfire, Angelina, Texas",Wildfires,2026-02-24 14:16:00+00:00,-94.3567,31.0586,2026,2
